,0
0,0.5316456
1,0.6666667
2,0.6666667
3,0.6666667
4,0.6666667
5,0.6666667
6,0.6666667
7,0.9661017
8,0.974359
9,0.974359
10,0.98275864
11,0.99130434
12,0.98275864
13,0.9734513
14,0.9734513
15,0.99130434
16,0.99130434
17,0.98275864
18,0.9734513
19,0.9734513
20,0.9649123
21,0.9734513
22,0.96428573
23,0.96428573
24,0.96428573
25,0.96428573
26,0.96428573
27,0.96428573
28,0.96428573
29,0.96428573
30,0.96428573
31,0.96428573
32,0.96428573
33,0.99130434
34,0.99130434
35,0.96428573
36,0.96428573
37,0.96428573
38,0.96428573
39,0.96428573
40,0.96428573
41,0.96428573
42,0.954955
43,0.96428573
44,0.96428573
45,0.96428573
46,0.954955
47,0.96428573
48,0.98245615
49,0.98245615
50,1.0
51,0.98245615
52,0.98245615
53,0.96428573
54,0.96428573
55,0.96428573
56,0.96428573
57,0.96428573
58,0.96428573
59,0.954955
60,0.96428573
61,0.96428573
62,0.96428573
63,0.96428573
64,0.96428573
65,0.96428573
66,0.96428573
67,0.96428573
68,0.96428573
69,0.96428573
70,0.96428573
71,0.96428573
72,0.96428573
73,0.96428573
74,0.96428573
75,0.96428573
76,0.96428573
77,0.96428573
78,0.96428573
79,0.96428573
80,0.96428573
81,0.96428573
82,0.96428573
83,0.8952381
84,0.9357798
85,0.954955
86,0.9259259
87,0.954955
88,0.954955
89,0.954955
90,0.954955
91,0.9056604
92,0.91588783
93,0.96428573
94,0.9734513
95,0.9734513
96,0.954955
97,0.91588783
98,0.8627451
99,0.9357798
