,0
0,36.0
1,48.0
2,108.0
3,108.0
4,108.0
5,108.0
6,108.0
7,108.0
8,168.0
9,228.0
10,228.0
11,228.0
12,228.0
13,228.0
14,228.0
15,228.0
16,228.0
17,228.0
18,228.0
19,228.0
20,228.0
21,228.0
22,228.0
23,228.0
24,228.0
25,228.0
26,228.0
27,228.0
28,228.0
29,228.0
30,228.0
31,228.0
32,228.0
33,228.0
34,228.0
35,228.0
36,228.0
37,228.0
38,228.0
39,228.0
40,228.0
41,228.0
42,228.0
43,228.0
44,228.0
45,228.0
46,228.0
47,228.0
48,228.0
49,228.0
50,228.0
51,228.0
52,228.0
53,228.0
54,228.0
55,228.0
56,228.0
57,228.0
58,228.0
59,228.0
60,228.0
61,228.0
62,228.0
63,228.0
64,228.0
65,228.0
66,228.0
67,228.0
68,228.0
69,228.0
70,228.0
71,228.0
72,228.0
73,228.0
74,228.0
75,228.0
76,228.0
77,228.0
78,228.0
79,228.0
80,228.0
81,228.0
82,228.0
83,228.0
84,228.0
85,228.0
86,228.0
87,228.0
88,228.0
89,228.0
90,228.0
91,228.0
92,228.0
93,228.0
94,228.0
95,228.0
96,228.0
97,228.0
98,228.0
99,228.0
