,0
0,0.21365562
1,0.059439346
2,0.10360308
3,0.13567035
4,0.13698834
5,0.13499373
6,0.14040375
7,0.140647
8,0.13475825
9,0.14840159
10,0.13980456
11,0.12974721
12,0.13506946
13,0.12961662
14,0.12939003
15,0.12960967
16,0.13913368
17,0.13525355
18,0.1326869
19,0.13515851
20,0.12957755
21,0.12943459
22,0.12929672
23,0.1294889
24,0.1291466
25,0.12917903
26,0.1290211
27,0.12902915
28,0.1290184
29,0.12905315
30,0.12899835
31,0.12912944
32,0.12903568
33,0.12903418
34,0.13474536
35,0.13472755
36,0.12902002
37,0.12899683
38,0.1290584
39,0.12905367
40,0.12907197
41,0.12899926
42,0.12900174
43,0.12905137
44,0.12897405
45,0.12897214
46,0.12899418
47,0.12902552
48,0.12898555
49,0.12903091
50,0.12896472
51,0.13466641
52,0.1290073
53,0.12907848
54,0.12896007
55,0.12898272
56,0.12897226
57,0.12895313
58,0.1346647
59,0.12894142
60,0.1289983
61,0.129181
62,0.12898447
63,0.12895477
64,0.12899557
65,0.12895852
66,0.12896568
67,0.12894575
68,0.12923113
69,0.128975
70,0.13467726
71,0.1289667
72,0.12904243
73,0.12897179
74,0.13466121
75,0.12897834
76,0.12896769
77,0.1347107
78,0.12895106
79,0.12894005
80,0.12892696
81,0.12903178
82,0.1290124
83,0.13463819
84,0.13470072
85,0.12892674
86,0.12899122
87,0.1289294
88,0.12899864
89,0.12893252
90,0.1347021
91,0.12895784
92,0.12897132
93,0.13470857
94,0.12896636
95,0.12893452
96,0.12891819
97,0.13466278
98,0.13463354
99,0.12893046
