,0
0,15.0
1,20.0
2,46.0
3,72.0
4,72.0
5,72.0
6,72.0
7,72.0
8,72.0
9,72.0
10,72.0
11,72.0
12,72.0
13,72.0
14,72.0
15,72.0
16,72.0
17,72.0
18,72.0
19,72.0
20,72.0
21,72.0
22,72.0
23,72.0
24,72.0
25,72.0
26,72.0
27,72.0
28,72.0
29,72.0
30,72.0
31,72.0
32,72.0
33,72.0
34,72.0
35,72.0
36,72.0
37,72.0
38,72.0
39,72.0
40,72.0
41,72.0
42,72.0
43,72.0
44,72.0
45,72.0
46,72.0
47,72.0
48,72.0
49,72.0
50,72.0
51,72.0
52,72.0
53,72.0
54,72.0
55,72.0
56,72.0
57,72.0
58,72.0
59,72.0
60,72.0
61,72.0
62,72.0
63,72.0
64,72.0
65,72.0
66,72.0
67,72.0
68,72.0
69,72.0
70,72.0
71,72.0
72,72.0
73,72.0
74,72.0
75,72.0
76,72.0
77,72.0
78,72.0
79,72.0
80,72.0
81,72.0
82,72.0
83,72.0
84,72.0
85,72.0
86,72.0
87,72.0
88,72.0
89,72.0
90,72.0
91,72.0
92,72.0
93,72.0
94,72.0
95,72.0
96,72.0
97,72.0
98,72.0
99,72.0
